city,scenario,severity,avg_ratio,pct_disconnected,resilience
Boston,Random Failure,0.05,1.1187704500404634,0.12,0.2874794724262572
Boston,Random Failure,0.1,1.3198786529514237,0.29,0.18968908120936623
Boston,Random Failure,0.2,1.9841987357728583,0.79,0.02887305464424793
Boston,Random Failure,0.3,2.4246833591714907,0.99,0.0008850613926294468
Boston,Targeted Attack (Top k%),0.05,1.3555543247640738,0.34,0.17015086935122936
Boston,Targeted Attack (Top k%),0.1,1.8813584337862708,0.69,0.047238718507846014
Boston,Targeted Attack (Top k%),0.2,1.6475845612956617,0.98,0.003850287081943604
Boston,Targeted Attack (Top k%),0.3,inf,1.0,0.0
Boston,Bridge Collapse,0.05,1.0,0.18,0.30166114176058273
Boston,Bridge Collapse,0.1,1.0,0.18,0.30166114176058273
Boston,Bridge Collapse,0.2,1.0,0.2,0.2943035529371539
Boston,Bridge Collapse,0.3,1.0,0.22,0.286945964113725
Boston,Tunnel Closure,0.05,1.0021508605156833,0.03,0.3560763631150711
Boston,Tunnel Closure,0.1,1.0007779540689015,0.04,0.35288962479079655
Boston,Tunnel Closure,0.2,1.0181586598829557,0.03,0.35042174388892855
Boston,Tunnel Closure,0.3,1.0262898356450494,0.03,0.3475839560097714
Boston,Highway Flood,0.05,1.0550746512783142,0.03,0.3377214422085839
Boston,Highway Flood,0.1,1.1031199607618327,0.13,0.28869571694148116
Boston,Highway Flood,0.2,1.1483495290557244,0.12,0.2791006245914024
Boston,Highway Flood,0.3,1.2059126211393063,0.19,0.24252908140991827
Chicago,Random Failure,0.05,1.1125857098491456,0.01,0.32542083879336275
Chicago,Random Failure,0.1,1.2214928572812296,0.02,0.2888939640497003
Chicago,Random Failure,0.2,1.686894280146533,0.17,0.15362758902675025
Chicago,Random Failure,0.3,2.589155094049714,0.7,0.022525035524477738
Chicago,Targeted Attack (Top k%),0.05,1.3496134704937137,0.11,0.23081303078157997
Chicago,Targeted Attack (Top k%),0.1,1.5904696595121723,0.24,0.15491069254992917
Chicago,Targeted Attack (Top k%),0.2,1.994024165502188,0.77,0.03131368252561226
Chicago,Targeted Attack (Top k%),0.3,inf,1.0,0.0
Chicago,Bridge Collapse,0.05,1.0,0.04,0.35316426352458463
Chicago,Bridge Collapse,0.1,1.0,0.04,0.35316426352458463
Chicago,Bridge Collapse,0.2,1.0,0.06,0.3458066747011558
Chicago,Bridge Collapse,0.3,1.0,0.07,0.34212788028944136
Chicago,Tunnel Closure,0.05,1.0008936127494694,0.0,0.36755084625271467
Chicago,Tunnel Closure,0.1,1.0035606121212703,0.0,0.366571894388921
Chicago,Tunnel Closure,0.2,1.0054312585662728,0.0,0.36588680895393894
Chicago,Tunnel Closure,0.3,1.012888140449096,0.0,0.3631685815828988
Chicago,Highway Flood,0.05,1.0302043806856946,0.0,0.35693400269759235
Chicago,Highway Flood,0.1,1.0847214658443252,0.0,0.3379959161919911
Chicago,Highway Flood,0.2,1.1204887383632878,0.0,0.3261203681323361
Chicago,Highway Flood,0.3,1.1763901179428597,0.05,0.2929704839737373
Dallas,Random Failure,0.05,1.1405964272448808,0.01,0.3164320466117299
Dallas,Random Failure,0.1,1.3707667318645775,0.11,0.2259818600672283
Dallas,Random Failure,0.2,1.9297466424194127,0.46,0.07839988787103172
Dallas,Random Failure,0.3,6.035968397585046,0.98,4.7823595860667576e-05
Dallas,Targeted Attack (Top k%),0.05,1.4315951057212577,0.16,0.20069910293598628
Dallas,Targeted Attack (Top k%),0.1,1.9093408379547456,0.39,0.09038859692328288
Dallas,Targeted Attack (Top k%),0.2,1.606383864675178,0.98,0.004012234864456121
