city,scenario,severity,run,avg_ratio,median_ratio,pct_disconnected,n_removed_edges,n_pairs
"Chicago, Illinois, USA",Bridge Collapse,0.3,0,1.0578617701009139,1.0622879198401238,0.0,257,30
"Chicago, Illinois, USA",Bridge Collapse,0.3,1,1.0915872882159952,1.0634231421716902,0.0,257,30
"Chicago, Illinois, USA",Bridge Collapse,0.3,2,1.0654856443056524,1.0443685861006027,0.0,257,30
"Chicago, Illinois, USA",Bridge Collapse,0.3,3,1.0881445586561824,1.0248785781527525,0.0,257,30
"Chicago, Illinois, USA",Bridge Collapse,0.3,4,1.1181748947367331,1.1111861371011114,0.0,257,30
"Chicago, Illinois, USA",Bridge Collapse,0.5,0,1.1403552891608038,1.1277008756572846,0.0,429,30
"Chicago, Illinois, USA",Bridge Collapse,0.5,1,1.1297390425366092,1.1324451178614372,0.0,429,30
"Chicago, Illinois, USA",Bridge Collapse,0.5,2,1.112088081211317,1.1037263924310083,0.0,429,30
"Chicago, Illinois, USA",Bridge Collapse,0.5,3,1.1367599406862916,1.0541306242490274,0.0,429,30
"Chicago, Illinois, USA",Bridge Collapse,0.5,4,1.185492369382629,1.206415893546106,0.0,429,30
"Chicago, Illinois, USA",Bridge Collapse,0.7,0,1.2329427282266356,1.2352444768514474,0.0,601,30
"Chicago, Illinois, USA",Bridge Collapse,0.7,1,1.2321016564696035,1.2637728791489111,0.0,601,30
"Chicago, Illinois, USA",Bridge Collapse,0.7,2,1.1869635062055592,1.1748834589423058,0.0,601,30
"Chicago, Illinois, USA",Bridge Collapse,0.7,3,1.188512218062353,1.1391550360801936,0.0,601,30
"Chicago, Illinois, USA",Bridge Collapse,0.7,4,1.2720746805737406,1.2758772399639793,0.0,601,30
"Chicago, Illinois, USA",Tunnel Closure,0.3,0,1.0117965172815246,1.0,0.0,167,30
"Chicago, Illinois, USA",Tunnel Closure,0.3,1,1.0016069940467267,1.0,0.0,167,30
"Chicago, Illinois, USA",Tunnel Closure,0.3,2,1.0071767644932814,1.0,0.0,167,30
"Chicago, Illinois, USA",Tunnel Closure,0.3,3,1.0066380418787915,1.0,0.0,167,30
"Chicago, Illinois, USA",Tunnel Closure,0.3,4,1.0204009975411628,1.0,0.0,167,30
"Chicago, Illinois, USA",Tunnel Closure,0.5,0,1.0294430612429784,1.0,0.0,278,30
"Chicago, Illinois, USA",Tunnel Closure,0.5,1,1.0033852298090589,1.0,0.0,278,30
"Chicago, Illinois, USA",Tunnel Closure,0.5,2,1.0094935039404747,1.0,0.0,278,30
"Chicago, Illinois, USA",Tunnel Closure,0.5,3,1.0145650091170562,1.0,0.0,278,30
"Chicago, Illinois, USA",Tunnel Closure,0.5,4,1.024591450940281,1.0056525369775606,0.0,278,30
"Chicago, Illinois, USA",Tunnel Closure,0.7,0,1.036186645731585,1.0009850932496263,0.0,389,30
"Chicago, Illinois, USA",Tunnel Closure,0.7,1,1.01337866923752,1.0,0.0,389,30
"Chicago, Illinois, USA",Tunnel Closure,0.7,2,1.0211149105774002,1.0,0.0,389,30
"Chicago, Illinois, USA",Tunnel Closure,0.7,3,1.0254689772944894,1.0,0.0,389,30
"Chicago, Illinois, USA",Tunnel Closure,0.7,4,1.031670008030527,1.0234942343719147,0.0,389,30
"Chicago, Illinois, USA",Highway Flood,0.3,0,1.3792843312890741,1.2655359032369862,3.3333333333333335,1028,30
